Reference Number,Name,Recoverable Materials 1,Recoverable Materials 2,Recoverable Materials 3,Common Locations 1,Common Locations 2,Cooking Effects,Hearts Recovered,Mountable,Wild/Domestic/Both,Type
45,Seagull,Raw Bird Drumstick,,,Necluda Sea,Akkala Sea,,0,No,Wild,Bird
46,Eldin Ostrich,Raw Bird Thigh,Raw Whole Bird,,Eldin Canyon,Eldin Mountains,,0,No,Wild,Bird
47,Cucco,Bird Egg,,,West Necluda,East Necluda,,0,No,Domestic,Bird
48,Hyrule Bass,Is Material,,,Hyrule Field,West Necluda,Heart Recovery,1,No,Wild,Fish
49,Hearty Bass,Is Material,,,West Necluda,Akkala Highlands,Extra Hearts,2,No,Wild,Fish
50,Staminoka Bass,Is Material,,,Hyrule Field,West Necluda,Stamina Recovery,1,No,Wild,Fish
51,Hearty Salmon,Is Material,,,Tabantha Frontier,Hebra Mountains,Extra Hearts,4,No,Wild,Fish
52,Chillfin Trout,Is Material,,,Tabantha Frontier,Hebra Mountains,Heat Resistance,1,No,Wild,Fish
53,Sizzlefin Trout,Is Material,,,Eldin Canyon,Eldin Mountains,Cold Resistance,1,No,Wild,Fish
54,Voltfin Trout,Is Material,,,Tabantha Frontier,Hyrule Ridge,Shock Resistance,1,No,Wild,Fish
55,Stealthfin Trout,Is Material,,,Great Hyrule Forest,Eldin Mountains,Stealth Up,1,No,Wild,Fish
56,Mighty Carp,Is Material,,,Akkala Highlands,Lanayru Great Spring,Attack Up,1,No,Wild,Fish
57,Armored Carp,Is Material,,,Lanayru Great Spring,East Necluda,Defense Up,1,No,Wild,Fish
58,Sanke Carp,Is Material,,,West Necluda,,Heart Recovery,1,No,Wild,Fish
59,Mighty Porgy,Is Material,,,Necluda Sea,Lanayru Sea,Attack Up,1,No,Wild,Fish
60,Armored Porgy,Is Material,,,Necluda Sea,Lanayru Sea,Defense Up,1,No,Wild,Fish
61,Sneaky River Snail,Is Material,,,West Necluda,Lanayru Great Spring,Stealth Up,1,No,Wild,Mollusk
62,Hearty Blueshell Snail,Is Material,,,Lanayru Sea,Necluda Sea,Extra Hearts,3,No,Wild,Mollusk
63,Razorclaw Crab,Is Material,,,Necluda Sea,East Necluda,Attack Up,1,No,Wild,Crustacean
64,Ironshell Crab,Is Material,,,Necluda Sea,East Necluda,Defense Up,1,No,Wild,Crustacean
65,Bright-Eyed Crab,Is Material,,,Lanayru Great Spring,Eldin Canyon,Stamina Recovery,1,No,Wild,Crustacean
66,Fairy,Is Material,,,Greater Hyrule,,Heart Recovery,5,No,Wild,Magical
67,Winterwing Butterfly,Is Material,,,Hyrule Ridge,Tabantha Frontier,Heat Resistance,0,No,Wild,Insect
68,Summerwing Butterfly,Is Material,,,Great Hyrule Forest,Eldin Mountains,Cold Resistance,0,No,Wild,Insect
69,Thunderwing Butterfly,Is Material,,,Hyrule Ridge,Gerudo Highlands,Shock Resistance,0,No,Wild,Insect
70,Smotherwing Butterfly,Is Material,,,Eldin Canyon,Death Mountain,Flame Guard,0,No,Wild,Insect
71,Cold Darner,Is Material,,,Tabantha Frontier,Hyrule Ridge,Heat Resistance,0,No,Wild,Insect
72,Warm Darner,Is Material,,,Akkala Highlands,Hyrule Field,Cold Resistance,0,No,Wild,Insect
73,Electric Darner,Is Material,,,Hyrule Ridge,Gerudo Desert,Shock Resistance,0,No,Wild,Insect
74,Restless Cricket,Is Material,,,Hyrule Field,East Necluda,Stamina Recovery,0,No,Wild,Insect
75,Bladed Rhino Beetle,Is Material,,,West Necluda,East Necluda,Attack Up,0,No,Wild,Insect
76,Rugged Rhino Beetle,Is Material,,,Hyrule Field,Faron Grasslands,Defense Up,0,No,Wild,Insect
77,Energetic Rhino Beetle,Is Material,,,Akkala Highlands,West Necluda,Stamina Recovery,0,No,Wild,Insect
78,Sunset Firefly,Is Material,,,West Necluda,Great Hyrule Forest,Stealth Up,0,No,Wild,Insect
79,Hot-Footed Frog,Is Material,,,Lanayru Great Spring,Hyrule Ridge,Speed Up,0,No,Wild,Amphibian
80,Tireless Frog,Is Material,,,Lanayru Great Spring,Hyrule Ridge,Extra Stamina,0,No,Wild,Amphibian
81,Hightail Lizard,Is Material,,,West Necluda,East Necluda,Speed Up,0,No,Wild,Reptile
82,Hearty Lizard,Is Material,,,Gerudo Desert,Necluda Sea,Extra Hearts,0,No,Wild,Reptile
83,Fireproof Lizard,Is Material,,,Eldin Canyon,Death Mountain,Flame Guard,0,No,Wild,Reptile
