objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
51st State: Arena Promo,234106,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,48571421,5.53871,7.22222,0,0,584,thing,51st State: Arena Promo,1,4,90,90,60,2017,,,,,,,,,,expansion,,,,,
5211,271512,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,107525170,5.8724,6.32248,1.186,3855,4238,thing,5211,2,5,30,30,20,2019,"2,3,4,5",4,6+,No necessary in-game text,,,,,,standalone,,,,,
7 Ghosts,246090,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,100217942,0,6.64643,0,0,86,thing,7 Ghosts,1,2,25,25,20,2018,,,,,,,,,,standalone,,,,,
7 Wonders,68448,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,16346550,7.56286,7.67391,2.3165,102,147693,thing,7 Wonders,2,7,30,30,30,2010,"3,4,5,6,7","4,5",10+,No necessary in-game text,,,,,,standalone,,,,,
7 Wonders Duel,173346,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,46701646,7.96511,8.08935,2.2256,20,168466,thing,7 Wonders Duel,2,2,30,30,30,2015,2,2,10+,No necessary in-game text,,,,,,standalone,,,,,
7 Wonders: Architects,346703,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,88864278,6.75564,7.04348,1.3556,784,16718,thing,7 Wonders: Architects,2,7,25,25,25,2021,"2,3,4,5,6,7",4,6+,No necessary in-game text,,,,,,standalone,,,,,
7 Wonders: Babel,154638,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,26158500,6.36656,6.86778,2.6569,0,14949,thing,7 Wonders: Babel,2,7,45,45,45,2014,"3,4,5,6,7",5,10+,No necessary in-game text,,,,,,expansion,,,,,
7 Wonders: Catan,110308,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,22668276,6.21402,7.09824,1.9359,0,6867,thing,7 Wonders: Catan,2,7,30,30,30,2011,"2,3,4,5,6,7","4,5",10+,No necessary in-game text,,,,,,expansion,,,,,
7 Wonders: Cities,111661,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,22668271,7.37897,7.80641,2.3495,0,31122,thing,7 Wonders: Cities,2,8,40,40,40,2012,"3,4,5,6,7,8","4,5",10+,No necessary in-game text,,,,,,expansion,,,,,
7 Wonders: Cities Anniversary Pack,231168,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,47702755,6.17087,7.79792,2.2308,0,4909,thing,7 Wonders: Cities Anniversary Pack,2,8,40,40,40,2017,"3,4,5,6,7,8","4,5",8+,No necessary in-game text,,,,,,expansion,,,,,
7 Wonders: Leaders,92539,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,22668273,7.48253,7.81981,2.2753,0,36350,thing,7 Wonders: Leaders,2,7,40,40,40,2011,"3,4,5,6,7","4,5",10+,No necessary in-game text,,,,,,expansion,,,,,
7 Wonders: Leaders – Esteban,130236,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,22668285,5.77568,7.08664,2.0455,0,2619,thing,7 Wonders: Leaders – Esteban,2,7,40,40,40,2012,"3,4,5,6,7","4,5",12+,No necessary in-game text,,,,,,expansion,,,,,
7 Wonders: Leaders – Louis,127838,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,22668286,5.92389,6.94537,1.9535,0,4864,thing,7 Wonders: Leaders – Louis,2,7,40,40,40,2012,"2,3,4,5,6,7","4,5",8+,No necessary in-game text,,,,,,expansion,,,,,
7 Wonders: Leaders – Stevie,99315,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,22668282,5.95668,6.92816,2.0435,0,5081,thing,7 Wonders: Leaders – Stevie,2,7,40,40,40,2011,"2,3,4,5,6,7",4,12+,No necessary in-game text,,,,,,expansion,,,,,
7 Wonders: Leaders – Wil,156119,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,23828768,5.7515,6.89608,2.1765,0,3190,thing,7 Wonders: Leaders – Wil,2,7,40,40,40,2014,"3,4,5,6,7","4,5",14+,No necessary in-game text,,,,,,expansion,,,,,
7 Wonders: Leaders Anniversary Pack,231167,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,47702749,6.22927,7.86198,2.2667,0,5175,thing,7 Wonders: Leaders Anniversary Pack,2,7,30,30,30,2017,"3,4,5,6,7","4,5",8+,No necessary in-game text,,,,,,expansion,,,,,
7 Wonders: Manneken Pis,83445,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,22668279,6.11094,6.76638,1.9674,0,6012,thing,7 Wonders: Manneken Pis,2,7,30,30,30,2010,"3,4,5,6,7","3,4,5",10+,No necessary in-game text,,,,,,expansion,,,,,
7 Wonders: Wonder Pack,133993,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,22668278,6.97842,7.59066,2.2645,0,18100,thing,7 Wonders: Wonder Pack,2,7,30,30,30,2013,"3,4,5,6,7",4,10+,No necessary in-game text,,,,,,expansion,,,,,
The 7th Continent: Classic Edition,283317,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,123231543,6.3372,7.48041,3.1429,1649,4241,thing,The 7th Continent: Classic Edition,1,4,1000,1000,5,2019,"1,2,3",1,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
9 Lives,189190,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,127885252,5.96296,7.09518,1.4286,3224,2260,thing,9 Lives,3,4,30,30,20,2015,"3,4",4,6+,No necessary in-game text,,,,,,standalone,,,,,
Abandon All Artichokes,302260,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,109050390,6.26368,6.58585,1.25,1864,9467,thing,Abandon All Artichokes,2,4,20,20,20,2020,"2,3,4",4,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Abandon Ship,41636,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,126106396,5.78966,6.34427,1.2247,4637,1486,thing,Abandon Ship,3,7,30,30,30,2008,"3,4,5,6,7","4,5",5+,No necessary in-game text,,,,,,standalone,,,,,
Abomination: The Heir of Frankenstein,239472,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,76976725,6.67743,7.44528,3.25,910,7432,thing,Abomination: The Heir of Frankenstein,2,4,180,180,90,2019,"2,3,4",3,14+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Above and Below,172818,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,97308531,7.09279,7.35655,2.5203,382,26207,thing,Above and Below,2,4,90,90,90,2015,"2,3,4",3,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Above and Below: Groves,213992,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,129178940,5.66816,6.94843,2.8,0,1805,thing,Above and Below: Groves,2,4,120,120,60,2016,"2,3,4",3,10+,No necessary in-game text,,,,,,expansion,,,,,
Ace Detective,123406,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33366701,5.53582,5.96927,2.2,14366,546,thing,Ace Detective,2,5,60,60,60,2013,"2,3,4","2,3",,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Acquire,5,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,24708953,7.12916,7.35075,2.4934,345,28204,thing,Acquire,2,6,90,90,90,1964,"3,4,5,6",4,12+,No necessary in-game text,,,,,,standalone,,,,,
Action Cats!,231837,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,115922499,5.49703,5.47628,1,24061,264,thing,Action Cats!,3,6,45,45,20,2017,"4,5,6","5,6",,,,,,,,standalone,,,,,
The Acts,255392,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,122941379,5.59779,7.50162,2.1667,8904,329,thing,The Acts,2,4,90,90,60,2018,"2,3,4",4,10,,,,,,,standalone,,,,,
Adrenaline,202408,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,124535747,6.60743,6.98807,2.3725,1030,9057,thing,Adrenaline,3,5,60,60,30,2016,"3,4,5","4,5",10+,No necessary in-game text,,,,,,standalone,,,,,
Advanced Civilization,177,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,79487113,6.96772,8.00944,3.6651,0,3861,thing,Advanced Civilization,2,8,480,480,360,1991,"4,5,6,7,8","6,7,8",12+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Advanced Squad Leader: Starter Kit #1,9823,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,35151108,6.71527,7.84532,3.7644,852,6078,thing,Advanced Squad Leader: Starter Kit #1,2,2,120,120,120,2004,"1,2",2,14+,No necessary in-game text,,,,,,standalone,,,,,
Adventure Island,256568,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,118866379,5.5754,5.95254,2.1111,10212,1241,thing,Adventure Island,2,5,90,90,45,2018,"2,3,4,5",4,8+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Adventure Land,183231,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,102810473,6.2796,6.89464,1.8133,1814,4867,thing,Adventure Land,2,4,45,45,45,2015,"2,3,4",3,8+,No necessary in-game text,,,,,,standalone,,,,,
The Adventures of Robin Hood,326494,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114762110,6.7794,7.46688,1.8269,749,11313,thing,The Adventures of Robin Hood,2,4,60,60,60,2021,"1,2,3,4",2,8+,Unplayable in another language,,,,,,standalone,,,,,
Aeroplanes: Aviation Ascendant,119337,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,69661526,5.78297,6.57049,2.925,4713,1316,thing,Aeroplanes: Aviation Ascendant,3,5,120,120,120,2012,"3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,
AFFLICTION: Salem 1692,212487,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,52220382,5.65493,7.24231,2.75,6875,641,thing,AFFLICTION: Salem 1692,2,4,60,60,30,2017,"2,3,4",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
AFFLICTION: Salem 1692 – Tactics Card Add-on Pack,248514,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,99506030,0,6.92857,0,0,60,thing,AFFLICTION: Salem 1692 – Tactics Card Add-on Pack,2,4,60,60,30,2017,,,,,,,,,,expansion,,,,,
Agamemnon,193693,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,117614800,5.66302,6.66158,2.1,6692,811,thing,Agamemnon,2,2,30,30,20,2016,2,2,,No necessary in-game text,,,,,,standalone,,,,,
Age of Empires III: The Age of Discovery,22545,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27803851,7.12871,7.50716,3.1228,347,8686,thing,Age of Empires III: The Age of Discovery,2,5,120,120,90,2007,"3,4,5","4,5",12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Age of Gods,13071,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,28691602,5.67425,6.29219,2.3049,6431,1367,thing,Age of Gods,3,5,90,90,90,2004,"3,4,5",5,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Age of Mythology: The Boardgame,6707,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,104504237,5.81147,6.13263,2.9312,4400,5120,thing,Age of Mythology: The Boardgame,2,4,120,120,120,2003,"2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Age of Napoleon,8490,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27560869,5.91922,6.8147,3.1658,3527,2266,thing,Age of Napoleon,2,2,60,60,60,2003,2,2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Age of Steam,4098,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,23828746,7.47727,7.85223,3.8702,139,13210,thing,Age of Steam,1,6,120,120,120,2002,"3,4,5,6",4,14+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Age of Steam Expansion: Germany & France,55209,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,28160635,5.62311,7.94415,3.7143,0,540,thing,Age of Steam Expansion: Germany & France,3,6,120,120,120,2009,"3,4,5",4,14+,No necessary in-game text,,,,,,expansion,,,,,
Age of Steam Expansion: Outer Space & Reversteam,101080,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,46701664,5.53872,7.96775,4,0,308,thing,Age of Steam Expansion: Outer Space & Reversteam,3,6,120,120,120,2011,,,,,,,,,,expansion,,,,,
Age of Steam Expansion: Secret Blueprints of Steam Plans 1 & 2,37326,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,46701668,5.52409,6.87619,3,0,472,thing,Age of Steam Expansion: Secret Blueprints of Steam Plans 1 & 2,3,4,45,45,45,2008,"3,4",4,14+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
"Age of Steam Expansion: Vermont, New Hampshire & Central New England",37302,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,46701672,5.61063,7.72028,3.2308,0,613,thing,"Age of Steam Expansion: Vermont, New Hampshire & Central New England",3,8,120,120,120,2008,"3,4,5,6,7,8","5,6",12+,No necessary in-game text,,,,,,expansion,,,,,
Age of Wonders: Planetfall,353848,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,129177878,5.67408,6.99038,2.1538,6433,464,thing,Age of Wonders: Planetfall,2,6,40,40,20,2022,"2,3,4,5,6","3,4",10+,,,,,,,standalone,,,,,
Agent 299,249785,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,94993927,0,6.3,2,0,137,thing,Agent 299,2,4,10,10,5,2018,4,4,,,,,,,,standalone,,,,,
The Agents: Mission Critical Expansion Set (Second Edition),233222,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,129512653,0,8,0,0,49,thing,The Agents: Mission Critical Expansion Set (Second Edition),2,5,90,90,60,2017,,,,,,,,,,expansion,,,,,
Aggretsuko: Work/Rage Balance,336206,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,109049039,5.52259,6.1821,2,17231,403,thing,Aggretsuko: Work/Rage Balance,3,6,30,30,30,2021,"3,4,5","4,5",,No necessary in-game text,,,,,,standalone,,,,,
Agricola,31260,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,16063587,7.73941,7.86794,3.6353,57,87488,thing,Agricola,1,5,150,150,30,2007,"1,2,3,4,5","3,4",12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Agricola: Bielefeld Deck,150732,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27560624,5.59154,7.1937,3.1667,0,933,thing,Agricola: Bielefeld Deck,1,5,0,0,0,2013,,,,,,,,,,expansion,,,,,
Agricola: Family Edition,205418,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114762784,6.37322,7.04177,2.4045,1548,6545,thing,Agricola: Family Edition,1,4,45,45,45,2016,"1,2,3,4",3,8+,No necessary in-game text,,,,,,standalone,,,,,
AI Space Puzzle,383064,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,129178023,5.72109,7.19782,2,5564,843,thing,AI Space Puzzle,2,5,30,30,30,2023,"2,3,4,5","3,4",8+,No necessary in-game text,,,,,,standalone,,,,,
Airship City,256442,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,88001390,5.7833,6.90563,3.1905,4710,1711,thing,Airship City,3,4,120,120,75,2018,"3,4",3,12+,No necessary in-game text,,,,,,standalone,,,,,
Aladdin's Dragons,492,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,123231420,6.31688,6.89086,2.3596,1698,4076,thing,Aladdin's Dragons,3,5,90,90,60,2000,"3,4,5","4,5",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Alan's Adventureland,180908,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,61339835,5.51014,5.77207,2,20706,289,thing,Alan's Adventureland,3,4,90,90,45,2016,,,12+,,,,,,,standalone,,,,,
Alchemists,161970,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,35217985,7.40467,7.63849,3.9212,169,31927,thing,Alchemists,2,4,120,120,120,2014,"2,3,4",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Alchemists: Ring of Favor,167849,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,35217976,5.70816,7.52654,3.6667,0,1903,thing,Alchemists: Ring of Favor,2,4,90,90,90,2014,"2,3,4",3,14+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Alchemists: The King's Golem,204650,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,46701685,6.57533,8.36644,4.5806,0,7216,thing,Alchemists: The King's Golem,2,4,120,120,120,2016,"2,3,4",3,14+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Aldabas: Doors of Cartagena,299604,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,120550879,5.56958,6.70202,2.1667,10635,576,thing,Aldabas: Doors of Cartagena,1,4,45,45,30,2022,"2,3,4",2,8+,No necessary in-game text,,,,,,standalone,,,,,
Aleph Null,324759,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,124537029,5.73915,7.0131,2.7,5282,1242,thing,Aleph Null,1,1,30,30,15,2022,1,1,12+,Unplayable in another language,,,,,,standalone,,,,,
Alexander the Great: Birth of an Empire,12248,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27560876,5.59989,6.04864,2.7051,8790,1242,thing,Alexander the Great: Birth of an Empire,2,5,75,75,75,2005,"3,4,5",3,10+,No necessary in-game text,,,,,,standalone,,,,,
Alexandria: Board Game Shelf Promo,234128,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,48571270,0,6.57895,0,0,215,thing,Alexandria: Board Game Shelf Promo,2,4,45,45,45,2017,,,,,,,,,,expansion,,,,,
Alexandros,8273,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,117652554,5.70806,6.18372,2.3729,5787,1568,thing,Alexandros,2,4,45,45,45,2003,"2,3,4",3,12+,No necessary in-game text,,,,,,standalone,,,,,
Alhambra: Big Box,45358,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,22668584,6.83824,7.48704,2.3247,0,9863,thing,Alhambra: Big Box,2,6,60,60,60,2009,"2,3,4,5",3,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Alice Cooper's HorrorBox,357184,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,112328470,0,4.61111,1,0,45,thing,Alice Cooper's HorrorBox,4,10,60,60,30,0,,,,,,,,,,standalone,,,,,
Alien Frontiers,48726,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,47064959,7.10329,7.35076,2.5668,374,15700,thing,Alien Frontiers,2,4,90,90,90,2010,"2,3,4","3,4",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Alien Frontiers: Expansion Pack #1,161118,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,47889969,5.64695,7.30726,2.4444,0,1750,thing,Alien Frontiers: Expansion Pack #1,2,4,90,90,90,2015,"2,3,4",4,,,,,,,,expansion,,,,,
Alien Frontiers: Expansion Pack #2,161120,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,47889971,5.63018,7.27313,2.4444,0,1706,thing,Alien Frontiers: Expansion Pack #2,2,4,90,90,90,2015,"2,3,4",4,,,,,,,,expansion,,,,,
