objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Batman: Gotham City Chronicles – The Narrows Chronicles","273064","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","60047247","5.58782","7.87723","4","0","1714","thing","Batman: Gotham City Chronicles – The Narrows Chronicles","2","4","90","90","60","2019","2,4","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Batman: Gotham City Chronicles – Versus Expansion","248759","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","55839077","5.66758","8.02","3","0","2652","thing","Batman: Gotham City Chronicles – Versus Expansion","2","4","90","90","60","2019","2,4","2","","","","","","","","expansion","","","","","","","","","","","","Monolith Board Games","English","2019","English edition"
"Batman: Gotham City Chronicles – Wayne Manor Expansion","248114","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","55839080","5.65242","8.21908","3","0","2477","thing","Batman: Gotham City Chronicles – Wayne Manor Expansion","2","4","90","90","60","2019","2,3,4","4","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Monolith Board Games","English; French","2019","English/French edition"
"Battle Sheep","54137","5.5","4","0","1","0","0","0","0","0","0","0","3","","","","","","36450544","6.25141","6.59875","1.456","1903","6816","thing","Battle Sheep","2","4","15","15","15","2014","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Blue Orange Games","English","2014","English-only edition"
"Betrayal at House on the Hill","10547","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","31071967","6.80181","7.01863","2.3968","715","81916","thing","Betrayal at House on the Hill","3","6","60","60","60","2010","3,4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Avalon Hill; Hasbro; Wizards of the Coast","English","2010","English second edition (with fixed tiles)"
"Between Two Cities","168435","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","30562765","6.72386","6.97621","1.8209","840","14196","thing","Between Two Cities","1","7","25","25","25","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Stonemaier Games","English; French; German","2015","English/French/German special edition"
"Biblios","34219","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","30229741","6.99974","7.19815","1.6868","477","22146","thing","Biblios","2","4","30","30","30","2015","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","IELLO","English","2015","English edition 2015"
"The Big Book of Madness","171233","6.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","30562758","6.52204","6.88294","2.6755","1198","12209","thing","The Big Book of Madness","2","5","90","90","60","2015","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","IELLO","English","2015","English first edition"
"Blokus","2453","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","29686432","6.71207","6.85936","1.74","857","41173","thing","Blokus","2","4","20","20","20","2009","2,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Mattel, Inc.","English","2009","Mattel English deluxe edition"
"Blood Rage","170216","8.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","29861305","7.74262","7.91687","2.8843","56","58682","thing","Blood Rage","2","4","90","90","60","2015","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Cool Mini Or Not; Guillotine Games","English","2015","English first edition"
"The Bloody Inn","180593","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","54372254","6.75516","7.0624","2.3622","786","14560","thing","The Bloody Inn","1","4","60","60","30","2015","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Blue Lagoon","244331","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","54372280","6.70141","7.21051","2.0063","871","7705","thing","Blue Lagoon","2","4","45","45","30","2018","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Blue Moon City","21882","7.5","0","0","1","0","0","0","0","0","0","0","1","","","","","","31262633","6.71148","7.03617","2.289","858","10220","thing","Blue Moon City","2","4","50","50","30","2006","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games; KOSMOS","English","2006","Fantasy Flight English edition"
"Blue Moon Legends","147154","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","29563260","6.35703","7.24819","2.3023","0","4317","thing","Blue Moon Legends","2","2","30","30","30","2014","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games","English","2014","English edition"
"Bohnanza: Fan Edition","11","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","36450506","6.95257","7.06908","1.6679","531","76768","thing","Bohnanza","2","7","45","45","45","2007","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Rio Grande Games","English","2007","Rio Grande edition"
"Broom Service","172308","8.5","2","0","1","0","0","0","0","0","0","0","1","","","","","","28501211","6.85963","7.16256","2.4018","650","17166","thing","Broom Service","2","5","75","75","30","2015","2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","alea; Ravensburger","English; French","2015","English/French first edition"
"Broom Service: The Card Game","192735","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48891968","5.66987","6.0621","1.4286","6530","3117","thing","Broom Service: The Card Game","3","6","30","30","15","2016","4,5,6","5,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","alea; Ravensburger","English; French; German","2016","English/French/German edition"
"Bruges","136888","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","28632651","7.11339","7.42666","2.7469","364","12307","thing","Bruges","2","4","60","60","60","2013","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Z-Man Games","English","2013","English edition"
"Bunny Bunny Moose Moose","59149","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38159050","5.67312","6.04601","1.5273","6449","2006","thing","Bunny Bunny Moose Moose","3","6","20","20","20","2014","4,5,6","5,6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Czech Games Edition","English","2014","English second edition"
"Bunny Kingdom","184921","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","53785613","7.11575","7.41938","2.3004","361","19941","thing","Bunny Kingdom","2","4","60","60","40","2017","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cacao","171499","7.5","3","0","1","0","0","0","0","0","0","0","1","","","","","","32702414","6.79035","7.07623","1.8229","733","14235","thing","Cacao","2","4","45","45","45","2015","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Z-Man Games","English","2015","English-only first edition"
"Cacao: Chocolatl","191540","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38158535","6.26676","7.48905","2.1154","0","5123","thing","Cacao: Chocolatl","2","4","60","60","60","2016","2,3,4","3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","ABACUSSPIELE","English; German","2016","English/German first edition"
"Camel Up","153938","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","31262623","6.88696","7.03606","1.5052","613","35969","thing","Camel Up","2","8","30","30","20","2014","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Z-Man Games","English","2014","Z-Man English edition"
"Captain Sonar","171131","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","38158695","7.2984","7.51051","2.197","230","31639","thing","Captain Sonar","2","8","60","60","45","2016","6,7,8","8","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Matagot","English","2016","English edition, first printing"
"Carcassonne Big Box 2","141008","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","26319659","5.88106","7.74825","2","0","1146","thing","Carcassonne Big Box 2","2","6","30","30","30","2008","2,3,4,5,6","2,4","8","","","","","","","standalone","","","","","","","","","","","","Rio Grande Games","English","2008","English edition"
"Cards Against Humanity","50381","3","0","0","1","0","0","0","0","0","0","0","1","","","","","","39722840","5.5654","5.73612","1.1753","10965","53100","thing","Cards Against Humanity","4","30","30","30","30","2009","4,5,6,7,8,9,10","6,7,8","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Castle Panic","43443","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","29624188","6.46781","6.65398","1.6536","1320","29494","thing","Castle Panic","1","6","60","60","30","2014","1,2,3,4,5,6","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Fireside Games","English","2014","English edition, eleventh printing"
"The Castles of Burgundy","84876","10","1","0","1","0","0","0","0","0","0","0","1","","","","","","26786394","8.02012","8.14676","2.974","16","79976","thing","The Castles of Burgundy","2","4","90","90","30","2011","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","alea; Ravensburger","English; French","2011","Ravensburger English/French edition"
"Castles of Mad King Ludwig","155426","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","28632551","7.32665","7.51248","2.6466","214","34260","thing","Castles of Mad King Ludwig","1","4","90","90","90","2014","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Bézier Games","English","2014","English first edition, first printing"
"Caverna: The Cave Farmers","102794","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","28484703","7.74987","7.9356","3.7763","51","45945","thing","Caverna: The Cave Farmers","1","7","210","210","30","2014","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Lookout Games; Mayfair Games","English","2014","English second edition, first printing"
"Caylus","18602","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","29949038","7.50897","7.7123","3.7947","125","29169","thing","Caylus","2","5","150","150","60","2012","2,3,4,5","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Rio Grande Games; Ystari Games","English","2012","English-only fourth edition"
"Celestia","175117","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","40751404","6.67478","6.93084","1.319","917","16265","thing","Celestia","2","6","30","30","30","2016","3,4,5,6","5,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","BLAM !; Quick Simple Fun Games","English","2016","English second edition"
"Century: Eastern Wonders","242574","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","54372285","6.72451","7.11389","2.1119","838","15062","thing","Century: Eastern Wonders","2","4","45","45","30","2018","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Century: Golem Edition","232832","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","54372287","7.2402","7.58667","1.7015","264","20040","thing","Century: Golem Edition","2","5","45","45","30","2017","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Century: Spice Road","209685","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","53785626","7.11594","7.29859","1.8028","360","33679","thing","Century: Spice Road","2","5","45","45","30","2017","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Champions of Midgard","172287","0","1","0","1","0","0","0","0","0","0","0","2","","","","","","30563226","7.43408","7.71585","2.6225","154","25386","thing","Champions of Midgard","2","4","90","90","60","2015","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Grey Fox Games","English","2015","English first edition"
"Chicago Express","31730","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38637281","6.88623","7.25133","2.7776","614","9096","thing","Wabash Cannonball","2","6","60","60","30","2008","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Queen Games","Dutch; English; French; German; Italian; Spanish","2008","Multilingual second edition"
"Chinatown","47","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","31262614","7.10903","7.43506","2.2349","369","14616","thing","Chinatown","3","5","60","60","60","2014","4,5","5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Filosofia Éditions; Z-Man Games","English; French","2014","English/French edition 2014"
"Citadels","478","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","28632892","6.93818","7.05768","2.0479","546","76492","thing","Citadels","2","8","60","60","20","2006","2,3,4,5,6,7","5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games","English","2006","Fantasy Flight English Small Box edition with Dark City expansion 2006"
"Click Clack Lumberjack","39206","6.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","50411296","6.03941","6.38684","1.0377","2802","5381","thing","Tac Tac Jack","2","7","10","10","10","2016","2,3,4,5,6,7","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Mayday Games","English","2016","Mayday English edition"
"The Climbers","34297","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","47346812","6.24984","6.75672","1.775","1910","4346","thing","The Climbers","2","5","45","45","45","2017","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Capstone Games","English","2017","English second edition"
"Codenames","178900","5","1","0","1","0","0","0","0","0","0","0","1","","","","","","29723068","7.44038","7.53573","1.258","151","164293","thing","Codenames","2","8","15","15","15","2015","4,5,6,7,8","6,8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Czech Games Edition","English","2015","English first edition"
"Colt Express","158899","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","28484569","6.95344","7.09456","1.8349","530","48189","thing","Colt Express","2","6","40","40","40","2014","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Asmodee; Ludonaute","English","2014","English-only first edition"
"Colt Express: Horses & Stagecoach","181158","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","39299550","6.53154","7.42299","2.1884","0","11438","thing","Colt Express: Horses & Stagecoach","2","6","60","60","30","2015","3,4,5,6","4,5,6","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Ludonaute","Chinese; Dutch; English; French; German; Italian; Japanese; Polish; Spanish","2015","Multilingual edition"
"Cosmic Encounter","39463","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","31242549","7.32969","7.51613","2.5829","213","42066","thing","Cosmic Encounter","3","5","120","120","60","2011","4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games","English","2011","English edition 2011"
"Cottage Garden","204027","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","60306292","6.55386","6.85126","1.8859","1127","12840","thing","Cottage Garden","1","4","60","60","60","2016","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Crossing","172971","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","54507474","5.97399","6.6924","1.0513","3159","2678","thing","Crossing","3","6","15","15","15","2016","4,5,6","5","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Cocktail Games; Moonster Games; Space Cowboys","English","2016","English first edition"
"Cry Havoc","192457","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","39508472","6.68135","7.10868","3.2885","902","10979","thing","Cry Havoc","2","4","120","120","60","2016","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Portal Games","English","2016","English edition"
